user_id,call_duration,cost,base_station,bill_status,create_hour,signal_strength,drop_rate,root_cause
25795,51.45428123725232,0.41,BS002,正常,17,-84.38255986298988,0.029946468649002037,无异常
10860,83.90948449263007,1.29,BS002,正常,23,-88.00232648112902,0.01766912129453823,无异常
86820,108.54927785578938,1.42,BS003,正常,22,-87.24652121355007,0.029676395452345298,无异常
64886,126.67042079557713,1.56,BS002,正常,18,-68.8432585466156,0.0007448459396393152,无异常
16265,117.16746760197923,0.82,BS005,正常,0,-78.34160373641915,0.007214076016135211,无异常
92386,95.43128632228104,0.41,BS004,费用异常,14,-88.08112421378796,0.030099639550576568,系统问题-计费系统漏洞
47194,157.5725375539388,1.81,BS002,正常,15,-75.81222649507949,0.014066124321769083,无异常
97498,114.83756253752365,1.46,BS001,正常,9,-68.09904947165643,0.021082630394281956,无异常
54131,128.37605447991695,1.01,BS005,正常,19,-76.47569516648542,0.0,无异常
70263,97.56176090446272,0.13,BS004,正常,3,-89.5817535515972,0.016187058547333193,无异常
26023,180.35761056960848,0.87,BS004,缺失,10,-77.16553000845272,0.007517961567973597,设备故障-基站硬件故障
51090,104.33475579172557,1.55,BS005,正常,15,-83.47684867746256,0.0132084932676101,无异常
77221,122.98771466373043,1.42,BS004,正常,4,-72.97078978378637,0.02123003335376505,无异常
74820,161.3999776850752,0.51,BS001,正常,18,-79.19624704558748,0.021023304967989844,无异常
10769,131.20169044239836,1.51,BS002,正常,10,-73.36180298293647,0.017581699460733204,无异常
69735,130.20358785749926,1.16,BS005,正常,17,-92.78482979961348,0.029034402304126232,无异常
72955,41.05377962413546,1.83,BS002,正常,14,-74.8363496014799,0.015608117774451726,无异常
74925,147.2254000677554,0.85,BS002,正常,1,-78.23136811968563,0.017366116554488945,无异常
77969,122.22347760853961,0.89,BS004,正常,23,-84.45100506332508,0.008044074361882047,无异常
15311,141.662604126902,1.26,BS005,正常,12,-74.97263730555896,0.03213723221965539,无异常
93104,127.32852193475345,0.99,BS002,正常,22,-78.7197476338503,0.011876537397278583,无异常
63707,97.6336977150851,0.76,BS003,正常,11,-76.3024747193746,0.005888171184481676,无异常
95305,155.7722866619838,2.12,BS001,正常,13,-85.49654643409836,0.007855085521320526,无异常
38693,127.92506445119663,1.91,BS004,正常,0,-74.1412961220347,0.021965880092010392,无异常
81932,68.42454035828361,0.72,BS005,费用异常,11,-94.15423194730248,0.019047532063395364,系统问题-计费系统漏洞
35658,172.3406862538465,1.31,BS005,正常,12,-77.6484609670052,0.01776581348519442,无异常
94478,62.78081742450112,0.43,BS004,正常,2,-76.08757704497779,0.03004574498890694,无异常
28431,156.0371693700217,2.05,BS002,正常,2,-58.96750427669009,0.010164895063267756,无异常
12747,179.4772708772083,1.58,BS004,正常,0,-78.48873489283925,0.02494824894230239,无异常
69150,75.74818256146949,1.7,BS005,正常,10,-59.9169720864036,0.020946121668150613,无异常
75725,115.08952853048447,1.07,BS003,正常,3,-64.5093397898875,0.024077052224255602,无异常
94654,111.36207015463293,1.79,BS002,正常,10,-77.10328180742003,0.02113636745713591,无异常
45773,113.16115379276445,1.79,BS004,正常,1,-75.73147781027261,0.012507123734773088,无异常
77435,193.20953420932256,1.12,BS005,正常,18,-86.6804385684908,0.0,无异常
66886,76.21124508331525,0.63,BS005,正常,11,-81.75896040271465,0.028122168803966997,无异常
76803,107.73731820484008,1.42,BS005,正常,12,-73.5530582232805,0.01991352857015107,无异常
41551,180.13289995287005,1.14,BS003,正常,16,-79.06667495597277,0.02122223601192677,无异常
21394,107.08204686643407,2.13,BS002,正常,18,-67.01576069249631,0.019697312295137364,无异常
